Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
cell proliferation,,,,,,,,,,,,,NF Landscape/assay
cell viability assay,,,,,,,,,,,,,NF Landscape/assay
combination library screen,,,,,,,,,,,,,NF Landscape/assay
combination screen,,,,,,,,,,,,,NF Landscape/assay
complex II enzyme activity assay,,,,,,,,,,,,,NF Landscape/assay
compound screen,,,,,,,,,,,,,NF Landscape/assay
current clamp assay,,,,,,,,,,,,,NF Landscape/assay
differential scanning calorimetry,,,,,,,,,,,,,NF Landscape/assay
dynamic light scattering,,,,,,,,,,,,,NF Landscape/assay
electrochemiluminescence,,,,,,,,,,,,,NF Landscape/assay
electrophoretic light scattering,,,,,,,,,,,,,NF Landscape/assay
flow cytometry,,,,,,,,,,,,,NF Landscape/assay
focus forming assay,,,,,,,,,,,,,NF Landscape/assay
gel permeation chromatography,,,,,,,,,,,,,NF Landscape/assay
immunoassay,,,,,,,,,,,,,NF Landscape/assay
in silico synthesis,,,,,,,,,,,,,NF Landscape/assay
insilicoModel,,,,,,,,,,,,,NF Landscape/assay
insilicoModeling,,,,,,,,,,,,,NF Landscape/assay
insilicomodel,,,,,,,,,,,,,NF Landscape/assay
in vitro tumorigenesis,,,,,,,,,,,,,NF Landscape/assay
in vivo PDX viability,,,,,,,,,,,,,NF Landscape/assay
in vivo tumor growth,,,,,,,,,,,,,NF Landscape/assay
light scattering assay,,,,,,,,,,,,,NF Landscape/assay
local field potential recording,,,,,,,,,,,,,NF Landscape/assay
long term potentiation assay,,,,,,,,,,,,,NF Landscape/assay
massively parallel reporter assay,,,,,,,,,,,,,NF Landscape/assay
microrheology,,,,,,,,,,,,,NF Landscape/assay
multi-electrode array,,,,,,,,,,,,,NF Landscape/assay
nanoparticle tracking analysis,,,,,,,,,,,,,NF Landscape/assay
oscillatory rheology,,,,,,,,,,,,,NF Landscape/assay
oxygen consumption assay,,,,,,,,,,,,,NF Landscape/assay
perineurial cell thickness,,,,,,,,,,,,,NF Landscape/assay
pharmocokinetic ADME assay,,,,,,,,,,,,,NF Landscape/assay
polymerase chain reaction,,,,,,,,,,,,,NF Landscape/assay
quantitative PCR,,,,,,,,,,,,,NF Landscape/assay
reactive oxygen species assay,,,,,,,,,,,,,NF Landscape/assay
reporter gene assay,,,,,,,,,,,,,NF Landscape/assay
split-GFP assay,,,,,,,,,,,,,NF Landscape/assay
rheometry,,,,,,,,,,,,,NF Landscape/assay
sandwich ELISA,,,,,,,,,,,,,NF Landscape/assay
single molecule drug screen assay,,,,,,,,,,,,,NF Landscape/assay
small molecule library screen,,,,,,,,,,,,,NF Landscape/assay
sorbitol dehydrogenase activity level assay,,,,,,,,,,,,,NF Landscape/assay
static histomorphometry,,,,,,,,,,,,,NF Landscape/assay
static light scattering,,,,,,,,,,,,,NF Landscape/assay
trans-endothelial electrical resistance,,,,,,,,,,,,,NF Landscape/assay
twin spot assay,,,,,,,,,,,,,NF Landscape/assay
whole-cell patch clamp,,,,,,,,,,,,,NF Landscape/assay
Unknown,,,,,,,,,,,,,NF Landscape/assay
